Version	 Chain	Source	Task	Input 1	I1#	Input 2	I2#	Input 3	I3#	Input 4	I4#	Input 5	I5#	Ouptut 1	O1#	Ouptut 2	O2#	Ouptut 3	O3#	Ouptut 4	O4#	Ouptut 5	O5#	Ouptut 6	O6#	Notes
1.0.0	FALSE	UV	Synthesis	Canister (Ethylene)	1									Powder Keg (Low Density PolyEthylene Pellets)	1											
1.0.0	FALSE	Heat	Synthesis	Canister (Ethylene)	1	Drum (Water)	1							Drum (Ethanol)	1											
1.0.0	FALSE	Heat	Synthesis	Canister (Ethylene)	1	Canister (Oxygen)	1	Palladium Catalyst	16					Drum (Ethylene Oxide)	1											
1.0.0	FALSE	Heat	Synthesis	Canister (Ethylene)	2	Drum (Acetic Acid)	2	Canister (Oxygen)	1	Palladium Catalyst	16			Drum (Vinyl Acetate)	2	Drum (Water)	2									
1.0.0	FALSE	Heat	Synthesis	Vial (Ethylidene Diacetate)	1									Vial (Vinyl Acetate)	1	Vial (Acetic Acid)	1									
1.0.0	FALSE	Heat	Synthesis	Beaker (Ethylidene Diacetate)	1									Beaker (Vinyl Acetate)	1	Beaker (Acetic Acid)	1									
1.0.0	FALSE	Heat	Synthesis	Drum (Ethylidene Diacetate)	1									Drum (Vinyl Acetate)	1	Drum (Acetic Acid)	1									
1.0.0	FALSE	Heat	Synthesis	Vial (Acetic Acid)	1	Vial (Acetylene)	1	Palladium Catalyst	1					Vial (Vinyl Acetate)	1											
1.0.0	FALSE	Heat	Synthesis	Beaker (Acetic Acid)	1	Beaker (Acetylene)	1	Palladium Catalyst	4					Beaker (Vinyl Acetate)	1											
1.0.0	FALSE	Heat	Synthesis	Drum (Acetic Acid)	1	Drum (Acetylene)	1	Palladium Catalyst	16					Drum (Vinyl Acetate)	1											
1.0.0				Vial (Vinyl Acetate)	1									Bag (PolyVinyl Acetate Pellets)	1											
1.0.0				Beaker (Vinyl Acetate)	1									Sack (PolyVinyl Acetate Pellets)	1											
1.0.0	TRUE	UV	Synthesis	Drum (Vinyl Acetate)	1									Powder Keg (PolyVinyl Acetate Pellets)	1											
1.0.0				Flask (Ethylene)	1	Vial (Vinyl Acetate)	1							Bag (Ethylene-Vinyl Acetate Pellets)	2											
1.0.0				Cartridge (Ethylene)	1	Beaker (Vinyl Acetate)	1							Sack (Ethylene-Vinyl Acetate Pellets)	2											
1.0.0				Canister (Ethylene)	1	Drum (Vinyl Acetate)	1							Powder Keg (Ethylene-Vinyl Acetate Pellets)	2											
1.0.0				Vial (Vinyl Acetate)	1	Vial (Acrylic Acid)	1							Bag (Vinyl Acetate-Acrylic Acid Pellets)	2											
1.0.0				Beaker (Vinyl Acetate)	1	Beaker (Acrylic Acid)	1							Sack (Vinyl Acetate-Acrylic Acid Pellets)	2											
1.0.0				Drum (Vinyl Acetate)	1	Drum (Acrylic Acid)	1							Powder Keg (Vinyl Acetate-Acrylic Acid Pellets)	2											
1.0.0				Vial (Vinyl Acetate)	1	Vial (Vinyl Chloride)	1							Bag (PolyVinyl Chloride Acetate Pellets)	2											
1.0.0				Beaker (Vinyl Acetate)	1	Beaker (Vinyl Chloride)	1							Sack (PolyVinyl Chloride Acetate Pellets)	2											
1.0.0				Drum (Vinyl Acetate)	1	Drum (Vinyl Chloride)	1							Powder Keg (PolyVinyl Chloride Acetate Pellets)	2											
1.0.0				Vial (Ethylene Oxide)	64	Vial (Water)	64							Vial (Ethylene Glycol)	54	Vial (Diethylene Glycol)	5	Vial (Triethylene Glycol)	3	Vial (Tetraethylene Glycol)	1					
1.0.0				Beaker (Ethylene Oxide)	64	Beaker (Water)	64							Beaker (Ethylene Glycol)	54	Beaker (Diethylene Glycol)	5	Beaker (Triethylene Glycol)	3	Beaker (Tetraethylene Glycol)	1					
1.0.0				Drum (Ethylene Oxide)	64	Drum (Water)	64							Drum (Ethylene Glycol)	54	Drum (Diethylene Glycol)	5	Drum (Triethylene Glycol)	3	Drum (Tetraethylene Glycol)	1					
1.0.0				Vial (Ethylene Oxide)	1	Flask (Carbon Dioxide)	1							Vial (Ethylene Carbonate)	1											
1.0.0				Beaker (Ethylene Oxide)	1	Cartridge (Carbon Dioxide)	1							Beaker (Ethylene Carbonate)	1											
1.0.0				Drum (Ethylene Oxide)	1	Canister (Carbon Dioxide)	1							Drum (Ethylene Carbonate)	1											
1.0.0				Vial (Ethylene Carbonate)	1	Vial (Water)	1							Vial (Ethylene Glycol)	1	Flask (Carbon Dioxide)	1									
1.0.0				Beaker (Ethylene Carbonate)	1	Beaker (Water)	1							Beaker (Ethylene Glycol)	1	Cartridge (Carbon Dioxide)	1									
1.0.0				Drum (Ethylene Carbonate)	1	Drum (Water)	1							Drum (Ethylene Glycol)	1	Canister (Carbon Dioxide)	1									
1.0.0				Vial (Ethylene Glycol)	64	Vial (Water)	64	Vial (Sodium Silicate)	1	Vial (Carboxylates)	1			Vial (Antifreeze)	64											
1.0.0				Beaker (Ethylene Glycol)	64	Beaker (Water)	64	Beaker (Sodium Silicate)	1	Beaker (Carboxylates)	1			Beaker (Antifreeze)	64											
1.0.0				Drum (Ethylene Glycol)	64	Drum (Water)	64	Drum (Sodium Silicate)	1	Drum (Carboxylates)	1			Drum (Antifreeze)	64											
1.0.0				Vial (Ethylene Glycol)	64	Vial (Water)	64	Vial (Sodium Phosphate)	1	Vial (Carboxylates)	1			Vial (Antifreeze)	64											
1.0.0				Beaker (Ethylene Glycol)	64	Beaker (Water)	64	Beaker (Sodium Phosphate)	1	Beaker (Carboxylates)	1			Beaker (Antifreeze)	64											
1.0.0				Drum (Ethylene Glycol)	64	Drum (Water)	64	Drum (Sodium Phosphate)	1	Drum (Carboxylates)	1			Drum (Antifreeze)	64											
1.0.0				Vial (Ethylene Glycol)	64	Vial (Water)	64	Vial (Sodium Borate)	1	Vial (Carboxylates)	1			Vial (Antifreeze)	64											
1.0.0				Beaker (Ethylene Glycol)	64	Beaker (Water)	64	Beaker (Sodium Borate)	1	Beaker (Carboxylates)	1			Beaker (Antifreeze)	64											
1.0.0				Drum (Ethylene Glycol)	64	Drum (Water)	64	Drum (Sodium Borate)	1	Drum (Carboxylates)	1			Drum (Antifreeze)	64											
1.0.0		10		Vial (Ethylene Glycol)	64	Vial (Dimethyl Terephthalate)	32							Bag (Amorphous PolyEthylene Terephthalate Pellets)	32	Vial (Methanol)	2									
1.0.0		10		Beaker (Ethylene Glycol)	64	Beaker (Dimethyl Terephthalate)	32							Sack (Amorphous PolyEthylene Terephthalate Pellets)	32	Beaker (Methanol)	2									
1.0.0		10		Drum (Ethylene Glycol)	64	Drum (Dimethyl Terephthalate)	32							Powder Keg (Amorphous PolyEthylene Terephthalate Pellets)	32	Drum (Methanol)	2									
1.0.0		2		Vial (Ethylene Glycol)	64	Vial (Dimethyl Terephthalate)	32	Magnesium Oxide Catalyst	1					Bag (Amorphous PolyEthylene Terephthalate Pellets)	32	Vial (Methanol)	2									
1.0.0		2		Beaker (Ethylene Glycol)	64	Beaker (Dimethyl Terephthalate)	32	Magnesium Oxide Catalyst	4					Sack (Amorphous PolyEthylene Terephthalate Pellets)	32	Beaker (Methanol)	2									
1.0.0		2		Drum (Ethylene Glycol)	64	Drum (Dimethyl Terephthalate)	32	Magnesium Oxide Catalyst	16					Powder Keg (Amorphous PolyEthylene Terephthalate Pellets)	32	Drum (Methanol)	2									
1.0.0				Vial (Ethylene Glycol)	64	Vial (Terephthalic Acid)	64	Antimony Trioxide Catalyst	1					Bag (Amorphous PolyEthylene Terephthalate Pellets)	64	Beaker (Water)	1	Beaker (Water)	1							
1.0.0				Beaker (Ethylene Glycol)	64	Beaker (Terephthalic Acid)	64	Antimony Trioxide Catalyst	4					Sack (Amorphous PolyEthylene Terephthalate Pellets)	64	Drum (Water)	1	Drum (Water)	1							
1.0.0				Drum (Ethylene Glycol)	64	Drum (Terephthalic Acid)	64	Antimony Trioxide Catalyst	16					Powder Keg (Amorphous PolyEthylene Terephthalate Pellets)	64	Drum (Water)	64	Drum (Water)	64							
1.0.0				Vial (Ethylene Glycol)	48	Vial (Dimethyl Terephthalate)	32	Antimony Trioxide Catalyst	1	Vial (Cyclohexane Dimethanol)	16			Bag (PolyEthylene Terephthalate Glycol-Modified Pellets)	32	Vial (Methanol)	2									
1.0.0				Beaker (Ethylene Glycol)	48	Beaker (Dimethyl Terephthalate)	32	Antimony Trioxide Catalyst	4	Beaker (Cyclohexane Dimethanol)	16			Sack (PolyEthylene Terephthalate Glycol-Modified Pellets)	32	Beaker (Methanol)	2									
1.0.0				Drum (Ethylene Glycol)	48	Drum (Dimethyl Terephthalate)	32	Antimony Trioxide Catalyst	16	Drum (Cyclohexane Dimethanol)	16			Powder Keg (PolyEthylene Terephthalate Glycol-Modified Pellets)	32	Drum (Methanol)	2									
1.0.0				Vial (Ethylene Glycol)	48	Vial (Terephthalic Acid)	64	Antimony Trioxide Catalyst	1	Vial (Cyclohexane Dimethanol)	16			Bag (PolyEthylene Terephthalate Glycol-Modified Pellets)	64	Beaker (Water)	1									
1.0.0				Beaker (Ethylene Glycol)	48	Beaker (Terephthalic Acid)	64	Antimony Trioxide Catalyst	4	Beaker (Cyclohexane Dimethanol)	16			Sack (PolyEthylene Terephthalate Glycol-Modified Pellets)	64	Drum (Water)	1									
1.0.0				Drum (Ethylene Glycol)	48	Drum (Terephthalic Acid)	64	Antimony Trioxide Catalyst	16	Drum (Cyclohexane Dimethanol)	16			Powder Keg (PolyEthylene Terephthalate Glycol-Modified Pellets)	64	Drum (Water)	64									
1.0.0				Vial (Ethylene Glycol)	64	Vial (Terephthalic Acid)	48	Antimony Trioxide Catalyst	1	Vial (Isophthalic Acid)	16			Bag (Amorphous PolyEthylene Terephthalate Pellets)	64	Beaker (Water)	1									
1.0.0				Beaker (Ethylene Glycol)	64	Beaker (Terephthalic Acid)	48	Antimony Trioxide Catalyst	4	Beaker (Isophthalic Acid)	16			Sack (Amorphous PolyEthylene Terephthalate Pellets)	64	Drum (Water)	1									
1.0.0				Drum (Ethylene Glycol)	64	Drum (Terephthalic Acid)	48	Antimony Trioxide Catalyst	16	Drum (Isophthalic Acid)	16			Powder Keg (Amorphous PolyEthylene Terephthalate Pellets)	64	Drum (Water)	64									
1.0.0				Bag (Amorphous PolyEthylene Terephthalate Pellets)	32	Aluminum Ingot	1							Metalized PET film	1											
1.0.0				Sack (Amorphous PolyEthylene Terephthalate Pellets)	32	Aluminum Ingot	4							Metalized PET film	64											
1.0.0				Reeds	4									Vial (Ethanol)	4											
1.0.0				Reeds	16									Vial (Ethanol)	16											
1.0.0				Reeds	64									Beaker (Ethanol)	1											
1.0.0				Wheat	4									Vial (Ethanol)	4											
1.0.0				Wheat	16									Vial (Ethanol)	16											
1.0.0				Wheat	64									Beaker (Ethanol)	1											
1.0.0				Vial (Water)	1									Flask (Chlorine)	10	Vial (Bromine)	1									
1.0.0				Beaker (Water)	1									Cartridge (Chlorine)	10	Beaker (Bromine)	1									
1.0.0				Drum (Water)	1									Canister (Chlorine)	10	Powder Keg (Bromine)	1									
1.0.0				Flask (Hydrogen)	2	Flask (Oxygen)	1							Vial (Water)	1											
1.0.0				Cartridge (Hydrogen)	2	Flask (Oxygen)	1							Beaker (Water)	1											
1.0.0				Canister (Hydrogen)	2	Flask (Oxygen)	1							Drum (Water)	1											
1.0.0				Flask (Ethylene)	16	Ziegler-Natta Catalyst	1							Bag (High Density PolyEthylene Pellets)	16											
1.0.0				Cartridge (Ethylene)	16	Ziegler-Natta Catalyst	4							Sack (High Density PolyEthylene Pellets)	16											
1.0.0				Canister (Ethylene)	16	Ziegler-Natta Catalyst	16							Powder Keg (High Density PolyEthylene Pellets)	16											
1.0.0				Vial (Gas Oil)	1	Palladium Catalyst	1							Vial (Diesel)	1	Vial (Kerosene)	1									
1.0.0				Beaker (Gas Oil)	1	Palladium Catalyst	4							Beaker (Diesel)	1	Beaker (Kerosene)	1									
1.0.0				Drum (Gas Oil)	1	Palladium Catalyst	16							Drum (Diesel)	1	Drum (Kerosene)	1									
				Vial (Benzene-Toluene-Xylene)	16	Cobalt-Manganese-Bromide Catalyst	1							Vial (Terephthalic Acid)	16											
				Beaker (Benzene-Toluene-Xylene)	16	Cobalt-Manganese-Bromide Catalyst	4							Beaker (Terephthalic Acid)	16											
				Drum (Benzene-Toluene-Xylene)	16	Cobalt-Manganese-Bromide Catalyst	16							Drum (Terephthalic Acid)	16											
1.0.0				Vial (Benzene-Toluene-Xylene)	16	Cobalt Catalyst	1							Vial (Terephthalic Acid)	16											
1.0.0				Beaker (Benzene-Toluene-Xylene)	16	Cobalt Catalyst	4							Beaker (Terephthalic Acid)	16											
1.0.0				Drum (Benzene-Toluene-Xylene)	16	Cobalt Catalyst	16							Drum (Terephthalic Acid)	16											
1.0.0				Vial (Terephthalic Acid)	1	Vial (Methanol)	1							Vial (Dimethyl Terephthalate)	2											
1.0.0				Beaker (Terephthalic Acid)	1	Beaker (Methanol)	1							Beaker (Dimethyl Terephthalate)	2											
1.0.0				Drum (Terephthalic Acid)	1	Drum (Methanol)	1							Drum (Dimethyl Terephthalate)	2											
1.0.0				Flask (Chlorine)	1	Flask (Ethylene)	2	Copper II Chloride Catalyst	1					Vial (EDC)	2											
1.0.0				Cartridge (Chlorine)	1	Cartridge (Ethylene)	2	Copper II Chloride Catalyst	4					Beaker (EDC)	2											
1.0.0				Canister (Chlorine)	1	Canister (Ethylene)	2	Copper II Chloride Catalyst	16					Drum (EDC)	2											
1.0.0				Flask (Chlorine)	1	Flask (Ethylene)	2	Iron III Chloride Catalyst	1					Vial (EDC)	2											
1.0.0				Cartridge (Chlorine)	1	Cartridge (Ethylene)	2	Iron III Chloride Catalyst	4					Beaker (EDC)	2											
1.0.0				Canister (Chlorine)	1	Canister (Ethylene)	2	Iron III Chloride Catalyst	16					Drum (EDC)	2											
1.0.0				Vial (EDC)	1									Vial (Vinyl Chloride)	1	Vial (Hydrochloric Acid)	1									
1.0.0				Beaker (EDC)	1									Beaker (Vinyl Chloride)	1	Beaker (Hydrochloric Acid)	1									
1.0.0				Drum (EDC)	1									Drum (Vinyl Chloride)	1	Drum (Hydrochloric Acid)	1									
1.0.0				Vial (Acetylene)	1	Vial (Hydrochloric Acid)	1							Vial (Vinyl Chloride)	1											
1.0.0				Beaker (Acetylene)	1	Beaker (Hydrochloric Acid)	1							Beaker (Vinyl Chloride)	1											
1.0.0				Drum (Acetylene)	1	Drum (Hydrochloric Acid)	1							Drum (Vinyl Chloride)	1											
1.0.0				Flask (Methane)	2									Vial (Acetylene)	1	Flask (Hydrogen)	3									
1.0.0				Cartridge (Methane)	2									Beaker (Acetylene)	1	Cartridge (Hydrogen)	3									
1.0.0				Canister (Methane)	2									Drum (Acetylene)	1	Canister (Hydrogen)	3									
1.0.0				Flask (Hydrogen)	1	Flask (Chlorine)	1							Vial (Hydrochloric Acid)	2											
1.0.0				Cartridge (Hydrogen)	1	Cartridge (Chlorine)	1							Beaker (Hydrochloric Acid)	2											
1.0.0				Canister (Hydrogen)	1	Canister (Chlorine)	1							Drum (Hydrochloric Acid)	2											
1.0.0				Vial (Vinyl Chloride)	1	Vial (Water)	3							Bag (PolyVinyl Chloride Pellets)	1	Vial (Water)	3									
1.0.0				Beaker (Vinyl Chloride)	1	Beaker (Water)	3							Bag (PolyVinyl Chloride Pellets)	1	Beaker (Water)	3									
1.0.0				Drum (Vinyl Chloride)	1	Drum (Water)	3							Bag (PolyVinyl Chloride Pellets)	1	Drum (Water)	3									
1.0.0				Iron III Oxide Catalyst	1	Lava Bucket	1							Beaker (Sulfuric Acid)	4											
1.0.0				Iron III Oxide Catalyst	16	Lava Bucket	1	Lava Bucket	1					Drum (Sulfuric Acid)	1											
1.0.0				Iron III Oxide Catalyst	64	Lava Bucket	1	Lava Bucket	1	Lava Bucket	1			Drum (Sulfuric Acid)	4											
1.0.0				Flask (Ethylene)	1	Vial (Benzene)	1	Vial (Sulfuric Acid)	1					Vial (Ethylbenzene)	2	Vial (Xylene)	1	Flask (Methane)	1							
1.0.0				Cartridge (Ethylene)	1	Beaker (Benzene)	1	Beaker (Sulfuric Acid)	1					Beaker (Ethylbenzene)	2	Beaker (Xylene)	1	Cartridge (Methane)	1							
1.0.0				Canister (Ethylene)	1	Drum (Benzene)	1	Drum (Sulfuric Acid)	1					Drum (Ethylbenzene)	2	Drum (Xylene)	1	Canister (Methane)	1							
1.0.0				Vial (Ethylbenzene)	1	Vial (Water)	10	Coal	1	Iron III Oxide Catalyst	1			Vial (Styrene)	1	Vial (Water)	9	Vial (Ortho-Xylene)	1							
1.0.0				Beaker (Ethylbenzene)	1	Beaker (Water)	10	Coal	4	Iron III Oxide Catalyst	16			Beaker (Styrene)	1	Beaker (Water)	9	Beaker (Ortho-Xylene)	1							
1.0.0				Drum (Ethylbenzene)	1	Drum (Water)	10	Coal	16	Iron III Oxide Catalyst	64			Drum (Styrene)	1	Drum (Water)	9	Drum (Ortho-Xylene)	1							
1.0.0				Vial (Styrene)	1									Bag (PolyStyrene Pellets)	16	Bitumen	1									
1.0.0				Beaker (Styrene)	1									Sack (PolyStyrene Pellets)	16	Bitumen	16									
1.0.0				Drum (Styrene)	1									Powder Keg (PolyStyrene Pellets)	16	Bitumen	64									
1.0.0				Vial (Benzene-Toluene-Xylene)	1									Vial (Benzene)	1	Vial (Toluene)	1	Vial (Xylene)	1							
1.0.0				Beaker (Benzene-Toluene-Xylene)	1									Beaker (Benzene)	1	Beaker (Toluene)	1	Beaker (Xylene)	1							
1.0.0				Drum (Benzene-Toluene-Xylene)	1									Drum (Benzene)	1	Drum (Toluene)	1	Drum (Xylene)	1							
1.0.0				Vial (Xylene)	1									Vial (Meta-Xylene)	1	Vial (Para-Xylene)	1									
1.0.0				Beaker (Xylene)	1									Beaker (Meta-Xylene)	1	Beaker (Para-Xylene)	1									
1.0.0				Drum (Xylene)	1									Drum (Meta-Xylene)	1	Drum (Para-Xylene)	1									
1.0.0				Coal	1									Vial (Coke)	8	Vial (Naphtha)	8									
1.0.0				Coal	16									Beaker (Coke)	2	Beaker (Naphtha)	2									
1.0.0				Coal	64									Beaker (Coke)	32	Beaker (Naphtha)	32									
1.0.0				Coal Block	1									Beaker (Coke)	2	Beaker (Naphtha)	2									
1.0.0				Coal Block	16									Beaker (Coke)	32	Beaker (Naphtha)	32									
1.0.0				Coal Block	64									Drum (Coke)	8	Drum (Naphtha)	8									
1.0.0				Vial (Calcium Oxide)	1	Vial (Coke)	3							Bag (Calcium Carbide)	1	Bag (Calcium Monoxide)	1									
1.0.0				Beaker (Calcium Oxide)	1	Beaker (Coke)	3							Sack (Calcium Carbide)	1	Sack (Calcium Monoxide)	1									
1.0.0				Drum (Calcium Oxide)	1	Drum (Coke)	3							Powder Keg (Calcium Carbide)	1	Powder Keg (Calcium Monoxide)	1									
1.0.0				Bag (Calcium Carbide)	1	Vial (Water)	1							Vial (Acetylene)	1	Bag (Calcium Hydroxide)	1									
1.0.0				Sack (Calcium Carbide)	1	Beaker (Water)	1							Beaker (Acetylene)	1	Sack (Calcium Hydroxide)	1									
1.0.0				Powder Keg (Calcium Carbide)	1	Drum (Water)	1							Drum (Acetylene)	1	Powder Keg (Calcium Hydroxide)	1									
1.0.0				Vial (Glycolic Acid)	1									Bag (PolyGlycolic Acid Pellets)	1	Vial (Water)	1									
1.0.0				Beaker (Glycolic Acid)	1									Sack (PolyGlycolic Acid Pellets)	1	Beaker (Water)	1									
1.0.0				Drum (Glycolic Acid)	1									Powder Keg (PolyGlycolic Acid Pellets)	1	Drum (Water)	1									
1.0.0				Sugar	32	Nether Wart	1							Beaker (Molasses)	16	Beaker (Lactic Acid)	8									
1.0.0				Sugar	64	Nether Wart	2							Beaker (Molasses)	32	Beaker (Lactic Acid)	16									
1.0.0				Vial (Lactic Acid)	1									Bag (PolyLactic Acid Pellets)	1											
1.0.0				Beaker (Lactic Acid)	1									Sack (PolyLactic Acid Pellets)	1											
1.0.0				Drum (Lactic Acid)	1									Powder Keg (PolyLactic Acid Pellets)	1											
1.0.0				Vial (Caprolactone)	1									Bag (PolyCaprolactone Pellets)	1											
1.0.0				Beaker (Caprolactone)	1									Sack (PolyCaprolactone Pellets)	1											
1.0.0				Drum (Caprolactone)	1									Powder Keg (PolyCaprolactone Pellets)	1											
1.0.0				Vial (Cyclohexane)	16	Cobalt Catalyst	1	Flask (Oxygen)	16					Vial (Cyclohexanone)	16	Vial (Water)	16									
1.0.0				Beaker (Cyclohexane)	16	Cobalt Catalyst	4	Cartridge (Oxygen)	16					Beaker (Cyclohexanone)	16	Beaker (Water)	16									
1.0.0				Drum (Cyclohexane)	16	Cobalt Catalyst	64	Canister (Oxygen)	16					Drum (Cyclohexanone)	16	Drum (Water)	16									
1.0.0				Vial (Cyclohexanone)	1	Vial (Peracetic Acid)	1							Vial (Caprolactone)	1											
1.0.0				Beaker (Cyclohexanone)	1	Beaker (Peracetic Acid)	1							Beaker (Caprolactone)	1											
1.0.0				Drum (Cyclohexanone)	1	Drum (Peracetic Acid)	1							Drum (Caprolactone)	1											
1.0.0				Vial (Acetaldehyde)	1	Flask (Oxygen)	1							Vial (Peracetic Acid)	1											
1.0.0				Beaker (Acetaldehyde)	1	Cartridge (Oxygen)	1							Beaker (Peracetic Acid)	1											
1.0.0				Drum (Acetaldehyde)	1	Canister (Oxygen)	1							Drum (Peracetic Acid)	1											
1.0.0				Vial (Acetic Acid)	1	Vial (Hydrogen Peroxide)	1							Vial (Peracetic Acid)	1	Vial (Water)	1									
1.0.0				Beaker (Acetic Acid)	1	Beaker (Hydrogen Peroxide)	1							Beaker (Peracetic Acid)	1	Beaker (Water)	1									
1.0.0				Drum (Acetic Acid)	1	Drum (Hydrogen Peroxide)	1							Drum (Peracetic Acid)	1	Drum (Water)	1									
1.0.0				Flask (Ethylene)	64	Palladium Catalyst	1	Copper II Chloride Catalyst	1	Flask (Oxygen)	32			Vial (Acetaldehyde)	64											
1.0.0				Cartridge (Ethylene)	64	Palladium Catalyst	4	Copper II Chloride Catalyst	4	Cartridge (Oxygen)	32			Beaker (Acetaldehyde)	64											
1.0.0				Canister (Ethylene)	64	Palladium Catalyst	16	Copper II Chloride Catalyst	16	Canister (Oxygen)	32			Drum (Acetaldehyde)	64											
1.0.0				Vial (Ethanol)	4	Flask (Oxygen)	1	Silver Catalyst	1					Vial (Acetaldehyde)	4											
1.0.0				Beaker (Ethanol)	4	Cartridge (Oxygen)	1	Silver Catalyst	4					Beaker (Acetaldehyde)	4											
1.0.0				Drum (Ethanol)	4	Canister (Oxygen)	1	Silver Catalyst	16					Drum (Acetaldehyde)	4											
1.0.0				Vial (Acetylene)	4	Mercury Catalyst	1							Vial (Acetaldehyde)	4											
1.0.0				Beaker (Acetylene)	4	Mercury Catalyst	4							Beaker (Acetaldehyde)	4											
1.0.0				Drum (Acetylene)	4	Mercury Catalyst	16							Drum (Acetaldehyde)	4											
1.0.0				Vial (Ethanol)	4	Copper II Chloride Catalyst	1							Vial (Acetaldehyde)	4	Flask (Hydrogen)	4									
1.0.0				Beaker (Ethanol)	4	Copper II Chloride Catalyst	4							Beaker (Acetaldehyde)	4	Cartridge (Hydrogen)	4									
1.0.0				Drum (Ethanol)	4	Copper II Chloride Catalyst	16							Drum (Acetaldehyde)	4	Canister (Hydrogen)	4									
				Vial (Acetaldehyde)	1	Vial (Cyanide)	1	Flask (Ammonia)	1																	
				Beaker (Acetaldehyde)	1	Beaker (Cyanide)	1	Cartridge (Ammonia)	1																	
				Drum (Acetaldehyde)	1	Drum (Cyanide)	1	Canister (Ammonia)	1																	
1.0.0				Vial (Acetaldehyde)	1	Vial (Cyclohexylamine)	1							Vial (N-Ethylidenecyclohexylamine)	1											
1.0.0				Beaker (Acetaldehyde)	1	Beaker (Cyclohexylamine)	1							Beaker (N-Ethylidenecyclohexylamine)	1											
1.0.0				Drum (Acetaldehyde)	1	Drum (Cyclohexylamine)	1							Drum (N-Ethylidenecyclohexylamine)	1											
